,state
0,Alabama
1,Arkansas
2,Colorado
3,Connecticut
4,Delaware
5,Florida
6,Georgia
7,Hawaii
8,Idaho
9,Illinois
10,Indiana
11,Iowa
12,Kansas
13,Kentucky
14,Louisiana
15,Maryland
16,Massachusetts
17,Michigan
18,Minnesota
19,Mississippi
20,Missouri
21,Nebraska
22,Nevada
23,New Hampshire
24,New Jersey
25,New Mexico
26,New York
27,North Carolina
28,North Dakota
29,Ohio
30,Oklahoma
31,Oregon
32,Pennsylvania
33,Rhode Island
34,South Carolina
35,South Dakota
36,Tennessee
37,Texas
38,Utah
39,Vermont
40,Virginia
41,Washington
42,West Virginia
43,Wisconsin
44,Wyoming
